ID,SALE ID,Sent date,Delivered date,Shipping class,Phone,Customer,Type,Country,City,State,Zip code,Location,ITEM ID,Department,I,Description,Cost,Quantity
6951,CA-2017-143021,11/19/2017,11/19/2017,Same Day,5550436951,Anne Pryor,Home Office,United States,New York City,New York,10011,East,FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,79.974,3
6952,CA-2015-161767,11/20/2015,11/24/2015,Standard Class,(729)-231-231,Grace Kelly,Corporate,United States,Dallas,Texas,75217,Central,TEC-MA-10002790,Technology,Machines,NeatDesk Desktop Scanner & Digital Filing System,479.988,2
6953,CA-2015-129917,10/2/2015,10/3/2015,First Class,4412622293,Henry R. MacAllister,Consumer,United States,Los Angeles,California,90008,West,OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,11.808,3
6954,CA-2015-129917,10/2,10/3/2015,1st class,2948228756,Henry R. MacAllister,Consumer,United States,Los Angeles,California,90008,West,OFF-BI-10004828,Office Supplies,Binders,GBC Poly Designer Binding Covers,53.568,4
6955,CA-2015-129917,10/2,10/3/2015,1st class,7284569107,Henry R. MacAllister,Consumer,United States,Los Angeles,California,90008,West,TEC-PH-10000369,Technology,Phones,HTC One Mini,503.96,5
6956,CA-2015-115420,4/25/2015,5/2/2015,Standard Class,8340827988,Linda Southworth,Corporate,United States,Los Angeles,California,90004,West,OFF-EN-10003862,Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,21.34,2
6957,CA-2016-157588,7/14/2016,7/19/2016,Standard Class,9772054390,Anemone Ratner,Consumer,United States,Columbus,Georgia,31907,,OFF-BI-10003963,Office Supp.,Binders,Cardinal Holdit Data Disk Pockets,36.4,5
6958,CA-2016-157588,7/14/2016,7/19/2016,Standard Class,3263762265,Anemone Ratner,Consumer,United States,Columbus,Georgia,31907,South,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",51.75,1
6959,CA-2015-167255,9/27/2015,9/29/2015,Second Class,719-942-3431,Rick Huthwaite,Home Office,United States,San Francisco,California,94110,,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",15.51,1
6960,CA-2015-167255,9/27/2015,9/29/2015,Second Class,719-942-3431,Rick Huthwaite,Home Office,United States,San Francisco,California,94110,West,OFF-PA-10002377,Office Supp.,Paper,Xerox 1916,146.82,3
6961,CA-2015-167255,9/27/2015,9/29/2015,Second Class,719-942-3431,Rick Huthwaite,Home Office,United States,San Francisco,California,94110,West,OFF-PA-10003441,Office Supp.,Paper,Xerox 226,12.96,2
6962,CA-2017-162096,11/10/2017,11/10/2017,Same Day,3810213071,Thomas Brumley,Home Office,United States,Riverside,California,92503,West,OFF-AR-10002221,Office Supp.,Art,12 Colored Short Pencils,"7,8",3
6963,CA-2016-157161,7/16/2016,7/20/2016,Second Class,5018545866,Jonathan Becker Doherty,Corporate,United States,Columbia,South Carolina,29203,,OFF-EN-10001509,Office Supp.,Envelopes,Poly String Tie Envelopes,10.2,5
6964,CA-2016-157161,7/16/2016,7/20/2016,Second Class,4517538997,Jonathan Becker Doherty,Corporate,United States,Columbia,South Carolina,29203,South,OFF-AR-10003338,Office Supp.,Art,"Eberhard Faber 3 1/2"" Golf Pencils",22.32,3
6965,CA-2016-157161,7/16/2016,7/20/2016,Second Class,3493559260,Jonathan Becker Doherty,Corporate,United States,Columbia,South Carolina,29203,South,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,24.1,5
6966,CA-2016-157161,7/16/2016,7/20/2016,Second Class,4616913167,Jonathan Becker Doherty,Corporate,United States,Columbia,South Carolina,29203,,TEC-AC-10000358,Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,75.98,2
6967,CA-2016-157161,7/16/2016,7/20/2016,Second Class,2818973834,Jonathan Becker Doherty,Corporate,United States,Columbia,South Carolina,29203,South,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,6.46,2
6968,CA-2016-157161,7/16/2016,7/20/2016,Second Class,7409476607,Jonathan Becker Doherty,Corporate,United States,Columbia,South Carolina,29203,South,OFF-PA-10001461,Office Supplies,Paper,HP Office Paper (20Lb. and 87 Bright),60.12,9
6969,CA-2015-110765,10/16/2015,10/20/2015,Second Class,8697076709,Michael Paige,Corporate,United States,New York City,New York,10011,East,TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,"824,97",3
6970,CA-2016-163937,1/10/2016,1/13/2016,Second Class,7783978209,Joy Bell-,Consumer,United States,Longview,Washington,98632,,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",24.85,5
6971,CA-2017-153822,9/19/2017,9/25/2017,Standard Class,5116984637,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2
6972,CA-2017-153822,9/19/2017,9/25/2017,Standard Class,4215758449,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2
6973,CA-2017-153822,9/19/2017,9/25/2017,Standard Class,882-1212121,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West,TEC-PH-10002415,Technology,Phones,Polycom VoiceStation 500 Conference phone,471.92,2
6974,CA-2017-153822,9/19/2017,9/25/2017,Standard Class,2792621461,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,18.18,4
6975,CA-2017-146185,9/15/2017,9/19/2017,Standard Class,5357391036,Charles Crestani,Consumer,United States,Houston,Texas,77095,Central,OFF-AR-10002987,Office Supplies,Art,Prismacolor Color Pencil Set,31.744,2
6976,CA-2015-112144,6/28,7/2/2015,Standard Class,3213680090,Craig Yedwab,Corporate,United States,Gilbert,Arizona,85234,,OFF-LA-10000443,Office Supplies,Labels,Avery 501,5.904,2
6977,CA-2015-112144,6/28/2015,7/2/2015,Standard Class,8827862148,Craig Yedwab,Corporate,United States,Gilbert,Arizona,85234,West,FUR-FU-10004306,Furniture,Furnishings,Electrix Halogen Magnifier Lamp,621.76,4
6978,US-2016-119298,11/25/2016,11/28/2016,First Class,(719)-593-8958,Emily Phan,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10002564,Technology,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,60,2
6979,CA-2017-155159,11/25/2017,11/29/2017,Second Class,1140823343,Delfina Latchford,Consumer,United States,Atlanta,Georgia,30318,South,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",48.87,9
6980,CA-2017-149076,1/14/2017,1/19/2017,Standard Class,7990303611,Sean O'Donnell,Consumer,United States,Los Angeles,California,90036,West,OFF-PA-10000483,Office Supplies,Paper,Xerox 19,154.9,5
6981,CA-2014-146990,11/7/2014,11/8/2014,First Class,(719)-444-212,Bart Pistole,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,5.92,4
6982,CA-2014-146990,11/7/2014,11/8/2014,First Class,(719)-444-212,Bart Pistole,Corporate,United States,New York City,New York,10024,,OFF-PA-10000246,Office Supplies,Paper,Riverleaf Stik-Withit Designer Note Cubes,30,3
6983,CA-2016-116526,9/1/2016,9/5/2016,Standard Class,3443945068,Joseph Airdo,Consumer,United States,Detroit,Michigan,48227,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,24.1,5
6984,CA-2016-116526,9/1/2016,9/5/2016,Standard Class,9581638188,Joseph Airdo,Consumer,United States,Detroit,Michigan,48227,Central,TEC-PH-10002365,Technology,Phones,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,8.78,1
6985,CA-2016-116526,9/1/2016,9/5/2016,Standard Class,2626901153,Joseph Airdo,Consumer,United States,Detroit,Michigan,48227,Central,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",376.74,4
6986,CA-2016-116526,9/1/2016,9/5/2016,Std. class,1873564924,Joseph Airdo,Consumer,United States,Detroit,Michigan,48227,Central,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,29.52,4
6987,CA-2016-116526,9/1/2016,9/5/2016,Std. class,3220312841,Joseph Airdo,Consumer,United States,Detroit,Michigan,48227,,OFF-AR-10004999,Office Supplies,Art,Newell 315,11.96,2
6988,CA-2016-116526,9/1/2016,9/5/2016,Standard Class,9846292609,Joseph Airdo,Consumer,United States,Detroit,Michigan,48227,Central,OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",26.4,5
6989,CA-2017-158561,11/11/2017,11/16/2017,Second Class,3488095525,Brenda H. Bowman,Corporate,United States,Fort Lauderdale,Florida,33311,,OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,1158.12,5
6990,CA-2017-165099,12/11/2017,12/13/2017,1st class,8528089066,Dennis Kane,Consumer,United States,Abilene,Texas,79605,Central,OFF-AP-10001634,Office Supplies,Appliances,Hoover Commercial Lightweight Upright Vacuum,1.392,2
6991,CA-2015-109386,11/8/2015,11/13/2015,Second Class,7881092481,Rob Lionel Ruthford Haberlin,Consumer,United States,Hampton,Virginia,23666,South,OFF-AP-10003266,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",44.43,3
6992,CA-2015-109386,11/8/2015,11/13/2015,Second Class,1969488663,Rob Lionel Ruthford Haberlin,Consumer,United States,Hampton,Virginia,23666,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,226.2,5
6993,CA-2015-109386,11/8/2015,11/13/2015,Second Class,2196108446,Rob Lionel Ruthford Haberlin,Consumer,United States,Hampton,Virginia,23666,South,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,186.54,3
6994,CA-2015-109386,11/8/2015,11/13/2015,Second Class,3195909747,Rob Lionel Ruthford Haberlin,Consumer,United States,Hampton,Virginia,23666,South,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",265.86,7
6995,CA-2015-109386,11/8/2015,11/13/2015,Second Class,7039807855,Rob Lionel Ruthford Haberlin,Consumer,United States,Hampton,Virginia,23666,South,OFF-AR-10000122,Office Supplies,Art,Newell 314,27.9,5
6996,CA-2015-166800,11/19/2015,11/26/2015,Standard Class,3222151251,Aleksandra Gannaway,Corporate,United States,Las Vegas,Nevada,89115,,OFF-AP-10004868,Office Supplies,Appliances,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,31.08,4
6997,CA-2017-117443,12/23/2017,12/25/2017,Second Class,2549124502,Jennifer Braxton,Corporate,United States,Rockford,Illinois,61107,Central,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,13.84,4
6998,CA-2017-117443,12/23/2017,12/25/2017,Second Class,2763059401,Jennifer Braxton,Corporate,United States,Rockford,Illinois,61107,Central,OFF-PA-10004475,Office Supplies,Paper,Xerox 1940,175.872,4
6999,US-2016-134369,9/16,9/22/2016,Std. class,7243355116,Becky Castell,Home Office,United States,Laguna Niguel,California,92677,West,OFF-PA-10002195,Office Supplies,Paper,Xerox 1966,12.96,2
7000,CA-2017-123687,5/26/2017,5/29/2017,1st class,7473474241,Kimberly Carter,Corporate,United States,Louisville,Kentucky,40214,South,OFF-AP-10002670,Office Supplies,Appliances,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,208.44,3
7001,CA-2017-123687,5/26/2017,5/29/2017,1st class,5753960020,Kimberly Carter,Corporate,United States,Louisville,Kentucky,40214,South,OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,25.76,2
7002,CA-2015-104871,3/30/2015,4/3/2015,Standard Class,8374945437,Daniel Raglin,Home Office,United States,Normal,Illinois,61761,Central,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",366.744,4
7003,CA-2014-133158,8/19/2014,8/21/2014,Second Class,9137880728,David Wiener,Corporate,United States,Los Angeles,California,90045,West,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",289.24,7
7004,CA-2014-133158,8/19/2014,8/21/2014,Second Class,9944794052,David Wiener,Corporate,United States,Los Angeles,California,90045,West,OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,69.456,2
7005,CA-2014-126333,12/23/2014,12/28/2014,Standard Class,6686115271,Michelle Ellison,Corporate,United States,Port Arthur,Texas,77642,Central,OFF-PA-10000223,Office Supplies,Paper,Xerox 2000,5.184,1
7006,CA-2015-141740,11/1/2015,11/5/2015,Standard Class,3163688389,Jeremy Farry,Consumer,United States,New York City,New York,10009,East,FUR-CH-10001545,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,205.164,2
7007,CA-2014-119466,12/15/2014,12/21/2014,Standard Class,5014238805,Sung Pak,Corporate,United States,Chicago,Illinois,60623,Central,FUR-FU-10001546,Furniture,Furnishings,Dana Swing-Arm Lamps,8.544,2
7008,CA-2015-154823,8/21/2015,8/25/2015,Standard Class,1540406620,Katherine R. Nockton,Corporate,United States,Springfield,Ohio,45503,East,OFF-BI-10001098,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,12.828,2
7009,CA-2015-154823,8/21/2015,8/25/2015,Standard Class,2703981718,Katherine R. Nockton,Corporate,United States,Springfield,Ohio,45503,East,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,598.458,3
